<不良状态点数速查>
  不良状态点数速查:
    流血点数: (耐力) 轻度每轮受不可避免4点挥砍L伤；重度失血过多；毁灭多系统器官衰竭。解除: 敏捷+医疗(急救)检定/短休
    肢体妨害点数:(力/敏取高+耐力) 轻度该肢体主动检定-6DP；重度肢体残障(暂时无法使用)；毁灭永久断肢+开放性创口。解除: 强韧豁免/短休/主神修复	
    剧痛点数: (耐力+决心) 轻度心智系检定-4DP；重度肌肉痉挛；毁灭昏迷。解除: 强韧或意志豁免/短休
    燃烧点数:  (敏捷+耐力) 轻度每轮受不可避免4点火焰L伤(不触发任何效果)；重度焚烧；无毁灭性后果。解除: 反射检定每成功数减1/入水全解除/打滚+2DP
    目眩点数: (耐力+感知) 轻度防御-6；重度视觉障碍(强制措手不及)；毁灭永久目盲+失去基础/闪避/格挡防御。解除: 强韧豁免/短休
    耳鸣点数: (耐力+感知) 轻度感知检定-6；重度听觉障碍(无法精确定位)；毁灭永久耳聋+神经功能崩解。解除: 强韧豁免/短休
    冻结点数: (力量+敏捷) 轻度先攻-6；重度冻伤(失基础防御/无法格挡)；毁灭永久冰封。解除: 适当温度下每轮恢复1点
    恐惧点数: (决心+沉着) 轻度每点减对源头互动/心智检定-1DP及攻击防御；重度惊惧(逃离/1轮)；毁灭获得永久精神异常。解除: 意志豁免/短休
    沮丧点数: (决心+沉着) 轻度主动检定-4DP；重度迷失自我(定身)；毁灭永久厌世。解除: 意志豁免/短休。与亢奋反制
    亢奋点数: (决心+沉着) 轻度防御-6；重度狂躁(无法短休/用意志力)；毁灭歇斯底里(震慑)。解除: 意志豁免/短休。与沮丧反制
    精神束缚: (决心+沉着) 轻度心智系检定-4DP；重度迷失自我(定身)；毁灭永久精神奴役。解除: 意志豁免/短休
    魅惑点数: (决心+风度) 轻度对抗沉迷目标互动检定-9DP；重度迷情(服从简单命令)；毁灭永久精神奴役。解除: 意志豁免/短休
    欲眠点数: (决心+沉着) 轻度施法/心灵检定-6DP；重度睡眠；毁灭永眠。解除: 意志豁免/短休
    疲乏点数: (耐力+力量) 轻度生理系检定-4DP；重度肌肉痉挛；毁灭永久力竭。解除: 强韧豁免/短休/充足睡眠
    恶心点数: (耐力+决心) 轻度攻击检定-2自然成功数；重度反胃(每回合失去迅捷动作)；毁灭多系统器官衰竭。解除: 强韧豁免/短休
    晕眩点数: (耐力+决心) 轻度防御-6；重度失衡(行动所需动作提升一级)；毁灭永久昏迷。解除: 强韧或意志豁免/短休
    麻痹点数: (耐力+决心) 轻度攻击检定-6；重度定身；毁灭永久瘫痪。解除: 强韧豁免/短休
    纠缠点数: (力量+敏捷) 轻度先攻-6；重度定身；毁灭永久失能。解除: 反射豁免/短休
    晶化点数: (耐力+决心) 轻度耐力检定-6；重度僵化(无法使用附加成功)；毁灭永久石化。解除: 强韧豁免/短休
</不良状态点数速查>
